Gene Name	Left-End-Position	Right-End-Position	Product
hisF	2095844	2096620	imidazole glycerol phosphate synthase subunit HisF
lacA	361249	361860	galactoside <i>O</i>-acetyltransferase
smrB	2448606	2449157	ribosome rescue factor SmrB
yfjU	2771840	2772154	CP4-57 prophage; putative arsenate reductase-like protein YfjU
ycjD	1351407	1351760	DUF559 domain-containing protein YcjD
fdhF	4297219	4299366	formate dehydrogenase H
fdoI	4081225	4081860	formate dehydrogenase O subunit &gamma;
insI2	279931	280104	
rplM	3378223	3378651	50S ribosomal subunit protein L13
phnN	4315525	4316082	ribose 1,5-bisphosphate phosphokinase
cbrA	3869377	3870441	colicin M resistance protein
gltD	3359198	3360616	glutamate synthase subunit GltD
fimG	4548285	4548788	type 1 fimbriae minor subunit FimG
yacL	134388	134750	PF06062 family protein YacL
ydbD	1475144	1477450	DUF2773 domain-containing protein YdbD
hisJ	2426006	2426788	histidine ABC transporter periplasmic binding protein
yabR	85467	85511	protein YabR
hisB	2093468	2094535	imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase
ybhF	827245	828981	ABC exporter ATP binding subunit YbhF
alsA	4309448	4310980	D-allose ABC transporter ATP binding subunit
nanY	4505287	4506405	KpLE2 phage-like element; 2,7-anhydro-<i>N</i>-acetylneuraminate hydratase
cutC	1958520	1959266	PF03932 family protein CutC
metV	2947607	2947683	tRNA-initiator Met(CAU)
talA	2578666	2579616	transaldolase A
yffQ	2563592	2563969	CPZ-55 prophage; uncharacterized protein YffQ
ydhX	1750345	1751013	putative 4Fe-4S ferredoxin-like protein YdhX
ubiE	4018855	4019610	bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinol methylase and demethylmenaquinone methyltransferase
hycF	2844210	2844752	formate hydrogenlyase subunit HycF
yoeG	2067360	2067892	
rmf	1015715	1015882	ribosome modulation factor
insH7	2101895	2102875	IS<i>5</i> transposase and trans-activator
phnK	4318006	4318764	carbon-phosphorus lyase subunit PhnK
yeiQ	2266245	2267711	putative oxidoreductase YeiQ
gltK	685255	685929	glutamate/aspartate ABC transporter membrane subunit GltK
gpr	3147897	3148937	L-glyceraldehyde 3-phosphate reductase
yiaF	3718334	3719044	DUF3053 domain-containing protein YiaF
emrK	2482176	2483339	tripartite efflux pump membrane fusion protein EmrK
fucI	2935584	2937359	L-fucose isomerase
coaE	112599	113219	dephospho-CoA kinase
yeaC	1861702	1861974	DUF1315 domain-containing protein YeaC
yfdI	2469131	2470462	CPS-53 (KpLE1) prophage; serotype-specific glucosyl transferase YfdI
yaiS	384059	384616	putative deacetylase YaiS
frmA	378462	379571	<i>S</i>-(hydroxymethyl)glutathione dehydrogenase
narH	1283604	1285142	nitrate reductase A subunit &beta;
yfaH	2349687	2349893	putative uncharacterized protein YfaH
rpmI	1799802	1799999	50S ribosomal subunit protein L35
pqiC	1014896	1015459	intermembrane transport lipoprotein PqiC
phnH	4320663	4321247	carbon-phosphorus lyase core complex subunit PhnH
tolB	777740	779032	Tol-Pal system periplasmic protein TolB
gltP	4294481	4295794	glutamate/aspartate : H<sup>+</sup> symporter GltP
yraK	3291341	3292432	putative fimbrial adhesin YraK
pxpC	744243	745175	5-oxoprolinase component C
yejG	2277893	2278237	protein YejG
holC	4483837	4484280	DNA polymerase III subunit &chi;
mscL	3438024	3438434	large conductance mechanosensitive channel
IS128	2653515	2653723	
yrhD	3584404	3584559	uncharacterized protein YrhD
yihQ	4067240	4069276	sulfoquinovosidase
oppF	1305764	1306768	murein tripeptide ABC transporter / oligopeptide ABC transporter ATP binding subunit OppF
ydeP	1584207	1586486	putative oxidoreductase YdeP
yneK	1615763	1616878	protein YneK
ileU	3427076	3427152	tRNA-Ile(GAU)
G0-10704	4001191	4001334	
waaJ	3800983	3801999	UDP-glucose:(glucosyl)LPS &alpha;-1,2-glucosyltransferase
flxA	1646405	1646737	Qin prophage; PF14282 family protein FlxA
insQ	1503657	1504865	putative RNA-guided DNA endonuclease InsQ
hycC	2847415	2849241	formate hydrogenlyase subunit HycC
glpB	2354265	2355524	anaerobic glycerol-3-phosphate dehydrogenase subunit B
yifN	3960012	3960460	putative toxin YifN
rpsK	3441709	3442098	30S ribosomal subunit protein S11
insB2	279178	279681	IS1 protein InsB
pldA	4004862	4005731	outer membrane phospholipase A
yfhR	2664390	2665244	putative peptidase
gdhA	1842371	1843714	glutamate dehydrogenase
fau	3056241	3056789	putative 5-formyltetrahydrofolate cyclo-ligase
yjaG	4199504	4200094	DUF416 domain-containing protein YjaG
